priority_bucket,keyword,keyword_type,target_page,target_slug_or_url,intent,mapped_section,current_status,action_priority,supporting_urls,semrush_volume,semrush_kd,semrush_cpc,semrush_intent,serp_notes,decision_after_semrush,notes
P3,infrastructure token review,Category,Layer 1 and Infrastructure Coins,/coin-reviews/#layer-1-and-infrastructure-coins,Commercial Investigation,Layer 1 and Infrastructure Coins,Partial,Use only as support term,https://coincu.com/ankr-review/ | https://coincu.com/what-is-humanity-protocol/ | https://coincu.com/other-reviews/sei-network-review/,,,,,Probably low volume long-tail,,
P3,nft token review,Category,NFT and Consumer-Culture Tokens,/coin-reviews/#nft-and-consumer-culture-tokens,Commercial Investigation,NFT and Consumer-Culture Tokens,Partial,Validate if category wording should change,https://coincu.com/pudgy-penguins-pengu-review/ | https://coincu.com/art-gobblers-review-unique-nft-project/ | https://coincu.com/cyberkongz-review/,,,,,Might map better to NFT project review intent,,
P3,community token review,Category,NFT and Consumer-Culture Tokens,/coin-reviews/#nft-and-consumer-culture-tokens,Commercial Investigation,NFT and Consumer-Culture Tokens,Missing,Use only if real demand appears,https://coincu.com/memeland-review-interesting-nft-project/ | https://coincu.com/pudgy-penguins-pengu-review/,,,,,Likely concept keyword not primary SEO target,,
P1,toncoin review,Child Page,Toncoin Review,/toncoin-review/,Commercial Investigation,Gap Page,Missing,Create direct-match child page,https://coincu.com/knowledge/overview-of-ton-ecosystem/ | https://coincu.com/tonkeeper-wallet-review/ | https://coincu.com/255532-tonup-review-the-first-launchpad-platform-on-ton/ | https://coincu.com/285577-the-open-network-review/,,,,,High-priority gap with existing support content,,
P1,sui review,Child Page,SUI Review,/sui-review/,Commercial Investigation,Gap Page,Missing,Create direct-match child page,https://coincu.com/suiswap-review/ | https://coincu.com/sui-move-explained/ | https://coincu.com/sui-ecosystem-2-1-new-crew3-updates/,,,,,High-priority gap if Semrush confirms demand,,
P1,sei review,Child Page,SEI Review,/sei-review/,Commercial Investigation,Gap Page,Missing,Create direct-match child page,https://coincu.com/other-reviews/sei-network-review/,,,,,May compete/overlap with existing network review,,
P2,humanity protocol review,Child Page / Existing,Humanity Protocol Review,https://coincu.com/what-is-humanity-protocol/,Commercial Investigation,Featured / Infrastructure,Exists,Refine existing page around review intent,https://coincu.com/what-is-humanity-protocol/ | https://coincu.com/why-is-humanity-protocol-h-surging/,,,,,Check whether 'what is' page already captures review intent,,
P2,bittensor review,Child Page / Existing,Bittensor Review,https://coincu.com/bittensor-review-2024-machine-intelligence/,Commercial Investigation,Featured / AI,Exists,Keep and improve,https://coincu.com/bittensor-review-2024-machine-intelligence/,,,,,Good child page to support AI cluster,,
P2,ethena review,Child Page / Existing,Ethena Review,https://coincu.com/ethena-review-breakthrough-stablecoin-solution/,Commercial Investigation,Featured / Legacy-Risk / Tokenomics,Exists,Keep and improve,https://coincu.com/ethena-review-breakthrough-stablecoin-solution/,,,,,Useful tokenomics/mechanism page,,
P2,pepe coin review,Child Page / Existing,Pepe Coin Review,https://coincu.com/pepe-coin-review/,Commercial Investigation,Meme and Narrative Coins,Exists,Keep and improve,https://coincu.com/pepe-coin-review/,,,,,Strong fit for meme section,,
P2,dogs memecoin review,Child Page / Existing,DOGS Memecoin Review,https://coincu.com/dogs-memecoin-review-telegrams-memecoin-project/,Commercial Investigation,Meme and Narrative Coins / Recently Updated,Exists,Keep and improve,https://coincu.com/dogs-memecoin-review-telegrams-memecoin-project/,,,,,Validate exact wording with Semrush,,
P2,notcoin review,Child Page / Existing,Notcoin Review,https://coincu.com/notcoin-review-play-telegram-game-before-airdrop/,Commercial Investigation,Meme and Narrative Coins / Recently Updated,Exists,Keep and improve,https://coincu.com/notcoin-review-play-telegram-game-before-airdrop/,,,,,Likely useful exact-match child target,,
P2,hamster kombat review,Child Page / Existing,Hamster Kombat Review,https://coincu.com/hamster-kombat-review-tap-to-earn-game/,Commercial Investigation,Meme and Narrative Coins / Recently Updated,Exists,Keep and improve,https://coincu.com/hamster-kombat-review-tap-to-earn-game/,,,,,Check whether game intent is more GameFi than coin review,,
P2,worldcoin review,Child Page / Existing,Worldcoin Review,https://coincu.com/worldcoin-revolutionize-cryptocurrencies/,Commercial Investigation,Legacy and Recovery-Thesis Coins,Exists,Keep and improve,https://coincu.com/worldcoin-revolutionize-cryptocurrencies/,,,,,May need title refinement if query demand is good,,
P2,skyai review,Child Page / Existing,SkyAI Review,https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/,Commercial Investigation,AI and Data Coins / Recently Updated,Exists,Keep and improve,https://coincu.com/skyai-skyai-review-mcp-data-rail-thesis/,,,,,Fresh child page that supports hub recrawl,,
P2,buidlon review,Child Page / Existing,BUILDon Review,https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/,Commercial Investigation,Meme and Narrative Coins / Recently Updated,Exists,Keep and improve,https://coincu.com/buildon-b-review-5-facts-behind-usd1-meme-proxy/,,,,,Typo variant worth checking if people misspell,,
P3,crypto token risks,Supporting Content,Crypto Knowledge / Glossary,/knowledge/ or /crypto-glossary/,Informational,Methodology + FAQ,Missing,Use only if Semrush shows real support demand,https://coincu.com/knowledge/ | https://coincu.com/crypto-glossary/,,,,,Could become glossary/helper article not hub focus,,
